Player Name,Profile URL,Player Region
"AnnieDro
C9W",https://www.vlr.gg/player/3078/anniedro,na
"ShadowKnight
YDZ.I",https://www.vlr.gg/player/40476/shadowknight,na
"Soto
LUC",https://www.vlr.gg/player/3996/soto,na
"Vora
Proj",https://www.vlr.gg/player/20140/vora,na
"Infinity
OU",https://www.vlr.gg/player/21877/infinity,na
"Bad
Reve",https://www.vlr.gg/player/19785/bad,na
"wow
LVI",https://www.vlr.gg/player/16672/wow,na
"jovahnii
BLIN",https://www.vlr.gg/player/3972/jovahnii,na
"Lear
THNK",https://www.vlr.gg/player/3883/lear,na
"Dogo
Gree",https://www.vlr.gg/player/16336/dogo,na
"Kazler
RF.GC",https://www.vlr.gg/player/25167/kazler,na
IDK,https://www.vlr.gg/player/31805/idk,na
"nitr0
M80",https://www.vlr.gg/player/2442/nitr0,na
"Emz
SCC.A",https://www.vlr.gg/player/7144/emz,na
Fish Fear Me,https://www.vlr.gg/player/39813/fish-fear-me,na
yung calculator,https://www.vlr.gg/player/26474/yung-calculator,na
"zero cap
MFC",https://www.vlr.gg/player/26464/zero-cap,na
"Scottie
UCF.B",https://www.vlr.gg/player/31910/scottie,na
"Tim
ZMM.B",https://www.vlr.gg/player/17751/tim,na
"shonk
ZMM.B",https://www.vlr.gg/player/14989/shonk,na
"MAKKA
PK",https://www.vlr.gg/player/1852/makka,na
"sym
TSM",https://www.vlr.gg/player/3702/sym,na
"misu
RF.GC",https://www.vlr.gg/player/28535/misu,na
"A1MBOT
Avai",https://www.vlr.gg/player/38642/a1mbot,na
"FireBallOps
0",https://www.vlr.gg/player/10053/fireballops,na
"randyySAVAGE
OXG",https://www.vlr.gg/player/146/randyysavage,na
"Tristiieee
VZ",https://www.vlr.gg/player/8994/tristiieee,na
"panini
oomf",https://www.vlr.gg/player/11949/panini,na
Chase,https://www.vlr.gg/player/33587/chase,na
Dannyy,https://www.vlr.gg/player/32183/dannyy,na
"zinc
Roya",https://www.vlr.gg/player/3186/zinc,na
"zerona
Fish",https://www.vlr.gg/player/14048/zerona,na
"Papicam
ROSE",https://www.vlr.gg/player/28905/papicam,na
"DBK
BRKA",https://www.vlr.gg/player/8343/dbk,na
"sogo
FCN",https://www.vlr.gg/player/6445/sogo,na
"melya
Elat",https://www.vlr.gg/player/19556/melya,na
"Nabber
TAMU",https://www.vlr.gg/player/11071/nabber,na
"CrayCup
RG",https://www.vlr.gg/player/15629/craycup,na
"LeviathanAG
NBG",https://www.vlr.gg/player/4386/leviathanag,na
Sader,https://www.vlr.gg/player/25240/sader,na
"roompa
AMB",https://www.vlr.gg/player/20364/roompa,na
"xeboda
RESO",https://www.vlr.gg/player/3970/xeboda,na
"squirmor
UCF.B",https://www.vlr.gg/player/24950/squirmor,na
"Ponder
PFlu",https://www.vlr.gg/player/18838/ponder,na
John Ham,https://www.vlr.gg/player/8990/john-ham,na
"Nick
TLP",https://www.vlr.gg/player/4933/nick,na
"cbui
PP",https://www.vlr.gg/player/19839/cbui,na
"Dani
SEN",https://www.vlr.gg/player/4340/dani,na
"Crunchy
BOBO",https://www.vlr.gg/player/1174/crunchy,na
"Aeric
AxS",https://www.vlr.gg/player/6576/aeric,na
"rivszn
CR",https://www.vlr.gg/player/9018/rivszn,na
"Velocity
UAESA.G",https://www.vlr.gg/player/26582/velocity,na
"scourge
N8V.W",https://www.vlr.gg/player/3187/scourge,na
Kawaii2k,https://www.vlr.gg/player/31659/kawaii2k,na
"syfi
Argo",https://www.vlr.gg/player/20337/syfi,na
"Keiti
C9W",https://www.vlr.gg/player/605/keiti,na
"Kero
YDZ.B",https://www.vlr.gg/player/35304/kero,na
"valusia
Soli",https://www.vlr.gg/player/36581/valusia,na
"Poach
DSG",https://www.vlr.gg/player/861/poach,na
"Reptar
Dave",https://www.vlr.gg/player/15599/reptar,na
"Truth
SCC",https://www.vlr.gg/player/3986/truth,na
"komi
WU",https://www.vlr.gg/player/33371/komi,na
"alexis
SR",https://www.vlr.gg/player/3079/alexis,na
"mina
WTP",https://www.vlr.gg/player/2116/mina,na
"Yoshii
MFC",https://www.vlr.gg/player/6392/yoshii,na
"car
LS",https://www.vlr.gg/player/29074/car,na
"SUPERKAT
PAW",https://www.vlr.gg/player/28549/superkat,na
"panday
oomf",https://www.vlr.gg/player/26032/panday,na
"scarn
SAD",https://www.vlr.gg/player/15636/scarn,na
"BNIPER
UCF.G",https://www.vlr.gg/player/26253/bniper,na
"Vetreon
Elys",https://www.vlr.gg/player/8846/vetreon,na
"ozz
CR",https://www.vlr.gg/player/26233/ozz,na
"wPanda
MIZ",https://www.vlr.gg/player/33594/wpanda,na
"bunnybee
oomf",https://www.vlr.gg/player/25246/bunnybee,na
"rain
EG.GC",https://www.vlr.gg/player/14/rain,na
"Pajko
UCF.G",https://www.vlr.gg/player/31911/pajko,na
"King
VRT",https://www.vlr.gg/player/6402/king,na
"andrew
RESO",https://www.vlr.gg/player/27937/andrew,na
"d1msumboi
RESO",https://www.vlr.gg/player/4924/d1msumboi,na
"Cab8ts
New",https://www.vlr.gg/player/16008/cab8ts,na
"Enjoy
IU",https://www.vlr.gg/player/6606/enjoy,na
"4Tapping
BPC",https://www.vlr.gg/player/21855/4tapping,na
reach,https://www.vlr.gg/player/8748/reach,na
"FpsRose
TMU.B",https://www.vlr.gg/player/33961/fpsrose,na
"ZachaREEE
CB",https://www.vlr.gg/player/468/zachareee,na
"acrian
VLYN",https://www.vlr.gg/player/24865/acrian,na
"Toskri
GRID",https://www.vlr.gg/player/25596/toskri,na
"marceline
SOL",https://www.vlr.gg/player/14403/marceline,na
reddi,https://www.vlr.gg/player/46370/reddi,na
"benzi
Pain",https://www.vlr.gg/player/46978/benzi,na
"Nora
SOL",https://www.vlr.gg/player/32667/nora,na
"Inspire
100T",https://www.vlr.gg/player/53/inspire,na
"MAR1
Torc",https://www.vlr.gg/player/17368/mar1,na
"Sacy
SEN",https://www.vlr.gg/player/659/sacy,na
"Tsuya
LUC",https://www.vlr.gg/player/3889/tsuya,na
BoLa,https://www.vlr.gg/player/21740/bola,na
"anger
CSUF",https://www.vlr.gg/player/44460/anger,na
"TiGG
FaZe",https://www.vlr.gg/player/769/tigg,na
"jcStani
MU",https://www.vlr.gg/player/419/jcstani,na
seyq,https://www.vlr.gg/player/32295/seyq,na
"Conch
PFlu",https://www.vlr.gg/player/16660/conch,na
"VolcaN
zZz",https://www.vlr.gg/player/8545/volcan,na
"LunaFox
KS",https://www.vlr.gg/player/17982/lunafox,na
"stew
SFU.P",https://www.vlr.gg/player/32153/stew,na
"Pr0phie
TR",https://www.vlr.gg/player/3131/pr0phie,na
"Harmful
TTR",https://www.vlr.gg/player/1814/harmful,na
"Limp
BPC",https://www.vlr.gg/player/2897/limp,na
"kouhai
Hype",https://www.vlr.gg/player/5072/kouhai,na
"Sworns
TR",https://www.vlr.gg/player/8750/sworns,na
"Rawkus
DZ",https://www.vlr.gg/player/2140/rawkus,na
"zeek
Blue",https://www.vlr.gg/player/26848/zeek,na
"bew
Mapl",https://www.vlr.gg/player/20799/bew,na
"sHMeaty
LIL",https://www.vlr.gg/player/3076/shmeaty,na
Shrony,https://www.vlr.gg/player/22926/shrony,na
"fourleaf
DG",https://www.vlr.gg/player/27849/fourleaf,na
"Ksiaze
SC",https://www.vlr.gg/player/463/ksiaze,na
"dapr
SEN",https://www.vlr.gg/player/454/dapr,na
"Governor
TLN",https://www.vlr.gg/player/3980/governor,na
"mummAy
FAIM",https://www.vlr.gg/player/818/mummay,na
"katsumi
Burg",https://www.vlr.gg/player/3080/katsumi,na
"Yeji
SaD",https://www.vlr.gg/player/17589/yeji,na
"stunna
VZ",https://www.vlr.gg/player/20957/stunna,na
"Fable
Dead",https://www.vlr.gg/player/24528/fable,na
